Actual_r1,Predicted_r1,Actual_r2,Predicted_r2
-1.1023729,-0.63737285,-0.6556077,-0.09902615
-0.11918641,-0.58341753,-0.22184876,0.21589403
-0.26760623,0.39170668,-0.50307035,-0.27579784
-1.0555173,-0.47395012,0.22010809,0.37252682
-0.47366074,-0.69038385,-0.26042765,-0.32878774
-0.30980393,-0.4833594,-1.69897,-0.52492577
-0.69897,-0.7630001,-0.5850267,-0.4191473
0.1335389,-0.44167778,-0.30103,0.117049545
-0.014124643,0.016679747,-0.5940279,-0.93321437
0.09342168,0.2361284,-0.54975086,-0.657546
-0.79588,0.17677379,0.44870633,-0.83724594
0.3673559,0.22575797,-0.54975086,-0.83197516
-0.4034029,-0.13395953,0.12872228,-0.114010625
-0.14874165,-0.325534,-0.22914799,-0.058008075
0.27184162,-0.101470694,-0.59345984,-0.17086178
-1.5228788,-1.5159104,-0.34678748,-0.26681453
-0.23657201,-0.6505764,-0.82390875,-0.5844528
-1.1366771,-0.7381014,0.40993312,-0.5886277
0.40993312,0.29721367,-1.2218487,-1.406132
-0.25181198,-0.6960129,0.813581,0.30295283
0.39794,-0.07863519,-0.63827217,-1.3649428
-0.4202164,-0.19500156,0.54157925,-0.063140005
-1.4749552,-0.8965491,0.90875304,0.09653281
-0.5086383,-0.7442161,-1.39794,-0.6861334
-1.30103,-1.1331584,-0.19382003,-0.6367875
-0.2672043,-0.47070444,0.013047996,-0.08563955
0.54157925,-0.15381241,-0.4202164,-0.124661356
0.44715804,0.26489064,-1.69897,-0.70906323
-0.6556077,-0.018747823,-1.1023729,-0.61524194
-0.4685211,-0.57053846,-0.4202164,-0.50787973
-0.22914799,-0.0656759,-0.3767507,-0.2039184
-0.30980393,-0.6652397,-0.92081875,-0.41260564
0.072127305,-0.18753676,-0.076065525,-0.10252431
-0.21467017,-0.23669519,0.06069784,-0.018806681
-0.33724216,0.41007775,-0.055517327,-0.87924725
-1.69897,-0.8085353,-1.09691,-1.0674525
-0.060480747,-0.52042824,-0.20760831,0.04421243
-0.69897,-0.33500904,0.33445376,-0.0068890303
0.1583625,-0.2777591,-0.07417242,0.009717323
0.6394865,0.41224685,-0.8013429,-0.96000344
-1.0457575,-0.8609385,0.041392684,0.26923335
-0.78515613,-0.49720833,-1.1611509,-0.43520147
-0.48148605,-0.23077175,-0.14874165,-0.4069919
-0.92081875,-0.21729645,-0.1611509,-0.6001545
0.075546965,0.0666342,-0.5850267,-0.56714106
-1.838632,-1.0715601,0.5581083,0.04762505
0.44169512,-0.06370907,-0.6478175,-0.6054159
-0.41736856,-0.19353713,-0.6478175,-0.55045545
0.04921802,0.10510244,-0.22914799,-0.4836607
-1.4436975,-0.5876439,0.27230585,-0.24516326
-0.4685211,-0.67170894,-0.63827217,-0.43463618
0.350248,-0.26552868,-1.39794,-1.294154
-2.0,-2.0045342,0.71600336,0.9215619
0.7267272,-0.4529672,-0.4202164,-0.03948862
-0.026872147,-0.09406961,0.1398791,-0.19504005
-2.0,-0.5396195,0.5276299,0.22849272
0.58939105,0.16159353,-0.73282826,-0.9948682
0.21748394,0.22164689,-0.73048705,-0.82864124
0.39269695,0.46987775,-1.5228788,-0.87702054
-0.3990271,-0.6642177,-0.89279,-0.82892555
-0.88605666,-0.8495018,-0.18045606,-0.15612113
-0.43179828,-0.004407624,-0.9586073,-0.746702
-0.058488566,-0.91223186,-1.1870867,-0.7124598
-0.20760831,-0.4982899,-0.4424928,-0.41661972
0.33845648,0.19484355,-0.4522253,-0.62143296
0.5378191,0.3695261,-1.09691,-1.1108114
0.004321374,-0.16792057,0.026369812,-0.2567361
-0.107905395,-0.29366454,0.025305865,0.0010257363
-0.08092191,-1.214135,0.23044892,-0.6934641
-0.3675427,-0.20136297,-0.4089354,-0.6183247
0.5740313,-0.033834778,-1.30103,-0.22738591
-0.13076828,-0.106251664,0.037426498,-0.09343997
-0.33724216,-0.055020742,-0.4436975,-0.67096555
-0.6642079,-0.7091419,-0.16325404,-0.44599766
0.010723866,-0.12907985,-0.04575749,-0.38896197
0.15350999,0.14132299,-0.61083394,-0.9029967
0.021189298,-0.05451098,-0.082232,-0.17708145
0.8808136,-0.8896482,-1.69897,-0.74963075
-1.5228788,-0.94360507,-0.060480747,0.06448823
-0.9913998,-0.4957612,-1.0,-1.0475011
-0.89279,-0.92368126,-0.3990271,-0.72778374
-0.35654733,-0.48467982,-0.022276394,-0.35644066
0.004321374,-0.38494343,0.0,0.031459674
-0.5551748,-0.6626854,-1.1904403,-0.80283237
-1.0,-1.0457046,0.14921911,0.23966907
-0.22184876,-0.10927417,-0.1674911,-0.5999773
-0.35654733,-0.32670557,-0.30103,-0.38534987
-0.4089354,-0.26044318,0.47712126,-0.04528241
0.38738984,-0.11594213,-1.69897,-1.3777193
-0.38721615,-0.16803476,-0.9586073,-0.06650426
-1.09691,-0.15656698,0.47683161,-0.7055233
-1.154902,-0.7615475,0.6434527,0.259678
-0.22184876,0.21883772,-0.12784372,-0.80034363
-0.9586073,-0.18566309,-0.38721615,-0.10209079
-0.21609642,-0.71159005,0.21748394,0.24473427
-0.27572414,-0.69435304,-1.0,-0.7245996
0.1271048,-0.16700736,-0.34678748,-0.29208374
0.19589965,-0.058889456,-0.8068754,-1.0044519
0.0,-0.65425307,0.0,0.14671163
-0.096910015,-0.6859326,-0.30103,-0.4984131
-0.79588,-0.57246083,-0.52287877,-0.51913613
-0.5086383,-0.20451629,-0.79588,-0.86439824
-0.7212464,0.13344873,0.5987905,-0.48187906
-0.008773924,-0.18084335,0.07188201,-0.13180047
-0.30980393,-0.68296653,0.31175387,-1.1223266
-0.20760831,-0.38562047,0.05076631,0.1209916
-0.43179828,-0.5188904,0.36921585,-0.039085686
0.050379757,-0.32217643,0.0685569,-0.17683713
0.35793483,-0.37766656,-0.41228902,-0.045446202
-0.21467017,0.04054857,-0.060480747,-0.40196007
-0.59859943,-0.9663004,-0.87614834,-0.72906905
-0.7695511,-0.09901377,0.39269695,-0.4151048
-0.7399286,-1.1095685,-1.5228788,-0.3336485
-1.39794,-0.8149561,-0.5086383,-0.6592552
0.075546965,0.14224975,-0.56863624,-0.5920554
-0.1674911,-0.2403448,-0.2596373,-0.34654427
-1.30103,-0.39591774,-0.21609642,-0.14439502
0.10037055,0.06967915,-0.27901426,-0.4325087
-0.45593196,-0.10247114,-0.4436975,-0.19919772
