Actual_r1,Predicted_r1,Actual_r2,Predicted_r2
-1.1023729,-0.692314,-0.6556077,0.32326925
-0.11918641,0.018028818,-0.22184876,-0.24229011
-0.26760623,0.16194248,-0.50307035,-0.43662703
-1.0555173,-0.65117615,0.22010809,0.36551827
-0.47366074,-0.23303267,-0.26042765,-0.0025391728
-0.30980393,0.06712919,-1.69897,-1.5320942
-0.69897,-0.44326115,-0.5850267,-0.49375194
0.1335389,-0.06728192,-0.30103,-0.2051477
-0.014124643,0.09879216,-0.5940279,-0.7987698
0.09342168,0.5084673,-0.54975086,-0.6795554
-0.79588,-0.18377021,0.44870633,0.0756502
0.3673559,-0.008572482,-0.54975086,-0.3960979
-0.4034029,-0.16353807,0.12872228,0.13904412
-0.14874165,-0.30662954,-0.22914799,-0.15475325
0.27184162,-0.0021282062,-0.59345984,-0.32586533
-1.5228788,-1.2749383,-0.34678748,-0.26033473
-0.23657201,-0.6315779,-0.82390875,-0.65425706
-1.1366771,-0.4699549,0.40993312,-0.004734516
0.40993312,0.08468241,-1.2218487,-1.2854745
-0.25181198,-0.48059207,0.813581,0.34698075
0.39794,0.6781547,-0.63827217,-1.5460724
-0.4202164,-0.33214682,0.54157925,0.092908636
-1.4749552,-1.5137666,0.90875304,0.36608708
-0.5086383,-0.6494145,-1.39794,-1.1233968
-1.30103,-0.7446868,-0.19382003,-0.1247152
-0.2672043,-0.28287566,0.013047996,0.051828638
0.54157925,0.23423979,-0.4202164,-0.4535464
0.44715804,0.28822258,-1.69897,-1.3178718
-0.6556077,0.27330917,-1.1023729,-0.5927824
-0.4685211,-0.21390302,-0.4202164,-0.54036003
-0.22914799,-0.022398062,-0.3767507,-0.16822492
-0.30980393,-0.48253316,-0.92081875,-0.46367735
0.072127305,-0.023299828,-0.076065525,-0.18250258
-0.21467017,-0.18134785,0.06069784,0.002923876
-0.33724216,-0.324428,-0.055517327,-0.022849753
-1.69897,-1.1410081,-1.09691,-1.0319465
-0.060480747,-0.13171479,-0.20760831,-0.056012854
-0.69897,-0.2776499,0.33445376,0.03458737
0.1583625,-0.019727692,-0.07417242,-0.13632971
0.6394865,0.5918841,-0.8013429,-1.2397547
-1.0457575,-0.7188266,0.041392684,0.30682307
-0.78515613,-0.4898998,-1.1611509,-0.36123192
-0.48148605,-0.8932043,-0.14874165,-0.24550147
-0.92081875,-0.45818043,-0.1611509,-0.4611205
0.075546965,0.17913562,-0.5850267,-0.53491753
-1.838632,-0.90057224,0.5581083,0.35454005
0.44169512,-0.26563582,-0.6478175,-0.2293788
-0.41736856,-0.37668976,-0.6478175,-0.7283418
0.04921802,0.04736077,-0.22914799,-0.0697174
-1.4436975,-0.7035971,0.27230585,-0.09596073
-0.4685211,-0.6482611,-0.63827217,-0.43526733
0.350248,0.31628263,-1.39794,-1.3424983
-2.0,-1.8173267,0.71600336,0.78507656
0.7267272,0.026086532,-0.4202164,-0.36591834
-0.026872147,0.020439968,0.1398791,-0.23545514
-2.0,-1.458804,0.5276299,0.7247794
0.58939105,0.7274945,-0.73282826,-0.9077814
0.21748394,0.44131774,-0.73048705,-0.568333
0.39269695,0.68323296,-1.5228788,-1.2467108
-0.3990271,-0.56107175,-0.89279,-0.683515
-0.88605666,-1.0662849,-0.18045606,0.17950691
-0.43179828,-0.07591937,-0.9586073,-1.0841583
-0.058488566,-0.10639749,-1.1870867,-1.0347147
-0.20760831,-0.626599,-0.4424928,-0.56197625
0.33845648,0.4546849,-0.4522253,-0.65392923
0.5378191,0.6135972,-1.09691,-1.1399825
0.004321374,0.036610715,0.026369812,-0.064274155
-0.107905395,-0.19356807,0.025305865,0.055103496
-0.08092191,-1.5756693,0.23044892,-0.41670513
-0.3675427,-0.16506246,-0.4089354,-0.7246878
0.5740313,0.46985012,-1.30103,-1.1745479
-0.13076828,-0.03933749,0.037426498,-0.04237342
-0.33724216,0.09428903,-0.4436975,-0.6651216
-0.6642079,-0.43856508,-0.16325404,-0.40357733
0.010723866,-0.10849431,-0.04575749,0.041796282
0.15350999,0.0021873936,-0.61083394,-0.27068833
0.021189298,-0.06302765,-0.082232,-0.08096251
0.8808136,0.06026905,-1.69897,-0.3668298
-1.5228788,-1.5961378,-0.060480747,-0.96633583
-0.9913998,-0.7591911,-1.0,-1.1337256
-0.89279,-0.5536772,-0.3990271,-0.573152
-0.35654733,-0.14283732,-0.022276394,-0.16484028
0.004321374,0.020000748,0.0,-0.13061212
-0.5551748,-0.48591435,-1.1904403,-1.0938228
-1.0,-1.0592332,0.14921911,0.3084823
-0.22184876,-0.03127598,-0.1674911,-0.23752075
-0.35654733,-0.6320353,-0.30103,-0.3524798
-0.4089354,-0.33747488,0.47712126,0.021631986
0.38738984,0.40987837,-1.69897,-1.5707798
-0.38721615,0.22915465,-0.9586073,-0.5736237
-1.09691,-0.8471219,0.47683161,0.38149083
-1.154902,-0.9801046,0.6434527,0.665063
-0.22184876,-0.13311438,-0.12784372,-0.30391204
-0.9586073,-0.44067508,-0.38721615,0.13787688
-0.21609642,-0.48700666,0.21748394,0.26854587
-0.27572414,-0.57939976,-1.0,-1.1147978
0.1271048,-0.24125531,-0.34678748,-0.3602602
0.19589965,-0.50730026,-0.8068754,-1.0327666
0.0,-1.4767784,0.0,-1.349499
-0.096910015,-0.54383266,-0.30103,-0.49703807
-0.79588,-0.58296263,-0.52287877,-0.63191485
-0.5086383,-0.4361053,-0.79588,-0.63818854
-0.7212464,-0.48613173,0.5987905,0.20672281
-0.008773924,-0.09587713,0.07188201,0.038166896
-0.30980393,-0.8110532,0.31175387,-1.6758287
-0.20760831,-0.10826679,0.05076631,0.023397163
-0.43179828,-0.2898131,0.36921585,0.041935384
0.050379757,-0.26625657,0.0685569,-0.02225469
0.35793483,-0.039348707,-0.41228902,-0.399922
-0.21467017,0.107667394,-0.060480747,-0.09025582
-0.59859943,-0.7290029,-0.87614834,-0.5720832
-0.7695511,-0.19382225,0.39269695,-0.27574402
-0.7399286,-0.9192462,-1.5228788,-0.6111682
-1.39794,-1.1754898,-0.5086383,-0.6200236
0.075546965,0.37033892,-0.56863624,-0.55693805
-0.1674911,-0.2585703,-0.2596373,-0.090629116
-1.30103,-0.894352,-0.21609642,-0.13805696
0.10037055,0.12584567,-0.27901426,-0.46126455
-0.45593196,-0.03934423,-0.4436975,-0.1860948
-0.3767507,-0.43179375,0.6147918,0.2851503
0.004321374,-0.06469214,-0.3767507,-0.118536964
0.11058971,0.27550015,-1.0,-1.2219186
0.9344984,0.4344353,-0.63827217,-1.0486617
-0.85387194,-0.3971811,-0.69897,-0.3515275
-0.7212464,-0.52013606,-0.49485,-0.46367842
-0.27736607,-0.4279943,-0.52287877,-0.5158804
-0.1674911,-0.15996301,-1.39794,-1.0521779
-1.5228788,-1.1712233,-0.35654733,-0.37148106
-1.69897,-1.6701981,-0.4436975,-0.4548595
0.1398791,-0.28090173,-0.026872147,0.07800615
0.15228835,0.08888472,-0.27572414,-0.19239703
0.04921802,0.19982961,-0.30103,-0.30791837
-0.04095861,-0.08236547,-0.013228266,-0.043213367
-0.08092191,-0.06679712,-0.33724216,-0.26348466
-1.2218487,-0.67489564,0.14612803,0.06733556
-1.6575773,-1.3840398,-0.4596705,-0.4524858
0.012837225,0.1343962,-0.39794,-0.4709807
-0.55284196,-0.5438061,0.10037055,-0.10917882
-1.031517,-0.9192462,-0.31336373,-0.6111682
-0.33724216,-0.94426686,0.39967373,0.48038822
-1.0457575,-1.3366097,-0.09151498,-0.10126382
-0.5850267,-0.6293069,-1.69897,-1.4282529
0.31175387,-1.7095575,-0.30980393,-0.5773311
0.27989498,-0.05018074,-0.11918641,-0.17958619
0.20951502,0.21531007,-0.15490197,-0.42139536
0.2329961,0.11579696,-0.88605666,-0.8967293
-0.7212464,-0.35542125,0.11394335,-0.115079775
0.4044916,0.2918741,-0.77469075,-0.6404962
-0.34678748,-0.05903781,-0.42887372,-0.5631137
0.1430148,-0.057996925,-0.17392519,-0.07225604
-1.5228788,-1.0476935,0.10720997,0.020636514
-0.35654733,-0.68970144,-0.04095861,-0.23118246
-0.013228266,-1.076733,0.5646661,-0.43471658
0.44247976,0.58563477,-1.69897,-1.024679
-0.19382003,-0.18700299,-0.013228266,0.0979756
-0.4202164,-0.335287,-0.5850267,-0.64454037
-1.0,-0.5887089,0.64836,0.44414705
-0.17457388,-0.038034573,-0.5426228,-0.41398764
-1.5850266,-1.6878178,0.5622929,0.7051124
-0.34678748,-0.3039224,-0.6777807,-0.68301386
-0.67366415,-0.4879403,-0.536107,0.05134611
-0.17979854,-0.09111185,0.24104816,-0.09926376
-0.5606673,-0.97738,0.32633585,0.6837011
-0.530178,-0.8081886,0.5438198,0.43558627
