Actual_r1,Predicted_r1,Actual_r2,Predicted_r2
-1.1023729,-0.3385031,-0.6556077,0.05878809
-0.11918641,-0.46012717,-0.22184876,0.08550435
-0.26760623,0.25208497,-0.50307035,-0.57734525
-1.0555173,-0.63697386,0.22010809,0.5272014
-0.47366074,-0.54207367,-0.26042765,-0.021259122
-0.30980393,0.0019422472,-1.69897,-1.5032502
-0.69897,-0.90302986,-0.5850267,-0.49747884
0.1335389,-0.09937205,-0.30103,-0.27551362
-0.014124643,0.19269907,-0.5940279,-0.9137459
0.09342168,0.2980953,-0.54975086,-0.5851789
-0.79588,-0.09002118,0.44870633,-0.15031026
0.3673559,0.17544721,-0.54975086,-0.7472495
-0.4034029,-0.169722,0.12872228,-0.0034307986
-0.14874165,-0.21925037,-0.22914799,-0.1199766
0.27184162,0.056840543,-0.59345984,-0.42715794
-1.5228788,-1.4819995,-0.34678748,-0.3886888
-0.23657201,-0.5625556,-0.82390875,-0.6092905
-1.1366771,-0.73895144,0.40993312,-0.585925
0.40993312,0.2889391,-1.2218487,-1.6292452
-0.25181198,-0.6820662,0.813581,0.41674608
0.39794,0.34661588,-0.63827217,-1.3192676
-0.4202164,-0.13456774,0.54157925,-0.07815967
-1.4749552,-1.2831851,0.90875304,0.3255837
-0.5086383,-0.64039046,-1.39794,-1.0595425
-1.30103,-1.5099148,-0.19382003,-0.6680435
-0.2672043,-0.38021702,0.013047996,-0.036500283
0.54157925,-0.11453396,-0.4202164,-0.10181914
0.44715804,0.015047882,-1.69897,-1.4640168
-0.6556077,0.09414403,-1.1023729,-0.49972743
-0.4685211,-0.44680917,-0.4202164,-0.7913595
-0.22914799,-0.12670478,-0.3767507,-0.096972615
-0.30980393,-0.54410625,-0.92081875,-0.51810694
0.072127305,-0.119541034,-0.076065525,-0.10131477
-0.21467017,-0.22831228,0.06069784,0.034345075
-0.33724216,-0.017627552,-0.055517327,-0.18503657
-1.69897,-0.8361013,-1.09691,-0.99218094
-0.060480747,-0.31406027,-0.20760831,-0.30781698
-0.69897,-0.30311978,0.33445376,-0.090182
0.1583625,-0.15906052,-0.07417242,-0.0932716
0.6394865,0.40851128,-0.8013429,-1.1157442
-1.0457575,-1.1629301,0.041392684,0.35102987
-0.78515613,-0.45311758,-1.1611509,-0.41024715
-0.48148605,-0.3507771,-0.14874165,-0.5050453
-0.92081875,-0.39434755,-0.1611509,-0.5813526
0.075546965,0.11774181,-0.5850267,-0.5579642
-1.838632,-1.5331851,0.5581083,0.4607215
0.44169512,-0.16279183,-0.6478175,-0.93649656
-0.41736856,-0.42350653,-0.6478175,-0.68913454
0.04921802,-0.029988065,-0.22914799,-0.18548357
-1.4436975,-0.9025233,0.27230585,0.09768407
-0.4685211,-0.61276966,-0.63827217,-0.50821483
0.350248,0.42649594,-1.39794,-1.6171552
-2.0,-1.84987,0.71600336,0.6825953
0.7267272,0.082932845,-0.4202164,-0.5914172
-0.026872147,-0.114092246,0.1398791,-0.19027333
-2.0,-1.376392,0.5276299,0.77363753
0.58939105,0.600301,-0.73282826,-1.078444
0.21748394,0.30507994,-0.73048705,-0.5678959
0.39269695,0.6278359,-1.5228788,-1.1191564
-0.3990271,-0.58277303,-0.89279,-0.7589882
-0.88605666,-0.906379,-0.18045606,0.26708418
-0.43179828,-0.3685282,-0.9586073,-1.0584129
-0.058488566,-0.4600548,-1.1870867,-1.2086359
-0.20760831,-0.65558106,-0.4424928,-0.9089575
0.33845648,0.3628946,-0.4522253,-0.62387556
0.5378191,0.5629352,-1.09691,-1.0509181
0.004321374,-0.032938596,0.026369812,-0.08455083
-0.107905395,-0.2269383,0.025305865,0.053802833
-0.08092191,-1.1687943,0.23044892,-1.0243313
-0.3675427,-0.1716742,-0.4089354,-0.6932688
0.5740313,0.39218545,-1.30103,-1.1049954
-0.13076828,-0.23552717,0.037426498,0.03047748
-0.33724216,0.17548501,-0.4436975,-0.5876611
-0.6642079,-0.6149698,-0.16325404,-0.4278597
0.010723866,-0.1663386,-0.04575749,-0.02619122
0.15350999,0.1126311,-0.61083394,-0.46446148
0.021189298,-0.08968869,-0.082232,-0.1471409
0.8808136,-0.02863717,-1.69897,-0.4678722
-1.5228788,-1.2742835,-0.060480747,-0.06696907
-0.9913998,-0.82446444,-1.0,-0.96865726
-0.89279,-0.7401472,-0.3990271,-0.63528466
-0.35654733,-0.3135636,-0.022276394,-0.31762612
0.004321374,-0.2540021,0.0,-0.02456683
-0.5551748,-0.5697451,-1.1904403,-1.0315907
-1.0,-0.959752,0.14921911,0.24990511
-0.22184876,-0.22994795,-0.1674911,-0.5305835
-0.35654733,-0.49928468,-0.30103,-0.304371
-0.4089354,-0.33777446,0.47712126,0.19819283
0.38738984,0.210441,-1.69897,-1.6451721
-0.38721615,0.02535284,-0.9586073,-0.33842665
-1.09691,-0.9646788,0.47683161,0.24301755
-1.154902,-1.0421265,0.6434527,0.6735698
-0.22184876,0.04242516,-0.12784372,-0.669701
-0.9586073,-0.3490228,-0.38721615,0.04474914
-0.21609642,-0.5159808,0.21748394,0.14766248
-0.27572414,-0.57431865,-1.0,-1.1370431
0.1271048,-0.11161089,-0.34678748,-0.25593707
0.19589965,-0.10221943,-0.8068754,-0.8625814
0.0,-0.45116502,0.0,-0.31203622
-0.096910015,-0.72258407,-0.30103,-0.5925516
-0.79588,-0.54297096,-0.52287877,-0.43554598
-0.5086383,-0.3786994,-0.79588,-1.0756845
-0.7212464,-0.35306978,0.5987905,0.1528085
-0.008773924,-0.08797203,0.07188201,-0.087254174
-0.30980393,-0.41738778,0.31175387,-1.2696795
-0.20760831,-0.18521224,0.05076631,0.016945526
-0.43179828,-0.51592255,0.36921585,0.057563543
0.050379757,-0.18839529,0.0685569,-0.03023731
0.35793483,-0.45931822,-0.41228902,-0.09331921
-0.21467017,-0.08894365,-0.060480747,-0.1455189
-0.59859943,-1.0689863,-0.87614834,-0.6977763
-0.7695511,-0.13589944,0.39269695,-0.24527377
-0.7399286,-1.1104859,-1.5228788,-0.8083221
-1.39794,-1.1368536,-0.5086383,-0.55859363
0.075546965,0.23244655,-0.56863624,-0.53079486
-0.1674911,-0.13030253,-0.2596373,-0.15525843
-1.30103,-1.0760944,-0.21609642,0.07666972
0.10037055,0.11134887,-0.27901426,-0.35683733
-0.45593196,-0.24247889,-0.4436975,-0.3369015
-0.3767507,-0.78295964,0.6147918,0.39415097
0.004321374,-0.15594283,-0.3767507,-0.06505148
0.11058971,0.10453324,-1.0,-1.4232601
0.9344984,0.3892898,-0.63827217,-0.8679813
