Actual_r1,Predicted_r1,Actual_r2,Predicted_r2
-1.1023729,-0.5126487,-0.6556077,0.28393084
-0.11918641,0.06371681,-0.22184876,-0.25986746
-0.26760623,0.28591716,-0.50307035,-0.24754247
-1.0555173,-0.98760825,0.22010809,0.6510909
-0.47366074,-0.7523701,-0.26042765,-0.11458268
-0.30980393,-0.120985225,-1.69897,-1.6134921
-0.69897,-0.41732943,-0.5850267,-0.5337649
0.1335389,-0.15080523,-0.30103,-0.25554812
-0.014124643,0.0667262,-0.5940279,-0.936168
0.09342168,0.43737733,-0.54975086,-0.55669576
-0.79588,-0.37301946,0.44870633,0.17901745
0.3673559,-0.023447864,-0.54975086,-0.34789613
-0.4034029,-0.57368344,0.12872228,0.43419546
-0.14874165,-0.1882259,-0.22914799,-0.09775039
0.27184162,-0.33163863,-0.59345984,-0.08545691
-1.5228788,-1.2423177,-0.34678748,-0.31346706
-0.23657201,-0.57798624,-0.82390875,-0.58269864
-1.1366771,-0.5645504,0.40993312,-0.3495099
0.40993312,-0.056883894,-1.2218487,-1.5265697
-0.25181198,-0.46551406,0.813581,0.29767755
0.39794,0.06955809,-0.63827217,-1.3696574
-0.4202164,-0.5283149,0.54157925,0.23087251
-1.4749552,-1.5347826,0.90875304,0.30735686
-0.5086383,-0.5781997,-1.39794,-1.2898008
-1.30103,-0.080187544,-0.19382003,-0.5713282
-0.2672043,-0.3984943,0.013047996,0.04471367
0.54157925,0.24428359,-0.4202164,-0.5445363
0.44715804,0.23502481,-1.69897,-1.478192
-0.6556077,0.22889093,-1.1023729,-0.58599705
-0.4685211,-0.3266012,-0.4202164,-0.18281218
-0.22914799,-0.11938071,-0.3767507,-0.029984064
-0.30980393,-0.43447125,-0.92081875,-0.52121085
0.072127305,0.0057794973,-0.076065525,-0.17866251
-0.21467017,-0.20994082,0.06069784,0.059694983
-0.33724216,-0.31580386,-0.055517327,0.18271327
-1.69897,-1.3216207,-1.09691,-0.8328202
-0.060480747,-0.098434225,-0.20760831,-0.14174227
-0.69897,-0.25976187,0.33445376,0.020384304
0.1583625,-0.0065285563,-0.07417242,-0.24083212
0.6394865,0.61246365,-0.8013429,-0.86589974
-1.0457575,-0.93418944,0.041392684,0.21511042
-0.78515613,-0.42675102,-1.1611509,-0.4652431
-0.48148605,-0.8376924,-0.14874165,-0.2527888
-0.92081875,-0.53284746,-0.1611509,-0.41413808
0.075546965,0.24439514,-0.5850267,-0.48830682
-1.838632,-1.0616715,0.5581083,0.26588023
0.44169512,-0.20413409,-0.6478175,-0.6631948
-0.41736856,-0.23404557,-0.6478175,-0.5965022
0.04921802,-0.019725375,-0.22914799,0.02000957
-1.4436975,-0.8034716,0.27230585,-0.07440014
-0.4685211,-0.733995,-0.63827217,-0.45056883
0.350248,0.31348184,-1.39794,-1.2103549
-2.0,-1.9878122,0.71600336,0.84892297
0.7267272,0.34922633,-0.4202164,-0.7640791
-0.026872147,0.0035673454,0.1398791,-0.21316071
-2.0,-1.4863431,0.5276299,0.47441542
0.58939105,0.7055961,-0.73282826,-1.026366
0.21748394,0.18565714,-0.73048705,-0.7694711
0.39269695,0.5193057,-1.5228788,-1.437964
-0.3990271,-0.9261444,-0.89279,-0.710199
-0.88605666,-0.76270616,-0.18045606,0.042045675
-0.43179828,-0.32382545,-0.9586073,-0.7915981
-0.058488566,-0.05656565,-1.1870867,-1.4472513
-0.20760831,-0.61387223,-0.4424928,-0.8027477
0.33845648,0.35012895,-0.4522253,-0.5473322
0.5378191,0.54109496,-1.09691,-1.25709
0.004321374,-0.1003387,0.026369812,0.092759244
-0.107905395,-0.29971987,0.025305865,0.15331495
-0.08092191,-1.3714226,0.23044892,0.11268895
-0.3675427,-0.42833307,-0.4089354,-0.86371565
0.5740313,0.6182177,-1.30103,-1.1283053
