Actual_r1,Predicted_r1,Actual_r2,Predicted_r2
-1.1023729,-0.28120995,-0.6556077,-0.22138616
-0.11918641,-0.43149287,-0.22184876,0.052262638
-0.26760623,0.27558178,-0.50307035,-0.66937786
-1.0555173,-0.8352598,0.22010809,0.66691154
-0.47366074,-0.6046908,-0.26042765,-0.095285624
-0.30980393,-0.21127678,-1.69897,-0.52430296
-0.69897,-0.66813433,-0.5850267,-0.5343289
0.1335389,-0.11537799,-0.30103,-0.1180757
-0.014124643,0.020723775,-0.5940279,-0.90583193
0.09342168,0.23362486,-0.54975086,-0.61332244
-0.79588,0.0865895,0.44870633,-0.4764916
0.3673559,0.23077382,-0.54975086,-0.6324415
-0.4034029,-0.069577545,0.12872228,-0.11164297
-0.14874165,-0.14878519,-0.22914799,-0.20735101
0.27184162,0.017169401,-0.59345984,-0.2729522
-1.5228788,-1.4167894,-0.34678748,-0.3991662
-0.23657201,-0.48746544,-0.82390875,-0.6785916
-1.1366771,-0.3546824,0.40993312,-0.5215309
0.40993312,0.2168947,-1.2218487,-1.5456635
-0.25181198,-0.91774476,0.813581,0.46238855
0.39794,0.35117805,-0.63827217,-1.6126686
-0.4202164,-0.15302172,0.54157925,-0.066805765
-1.4749552,-1.0742291,0.90875304,0.16555542
-0.5086383,-0.450521,-1.39794,-0.82214886
-1.30103,-1.6234895,-0.19382003,-0.71983653
-0.2672043,-0.3856334,0.013047996,-0.108423844
0.54157925,-0.097856574,-0.4202164,-0.1036438
0.44715804,-0.0022002459,-1.69897,-0.96214736
-0.6556077,-0.101771,-1.1023729,-0.2074058
-0.4685211,-0.403746,-0.4202164,-0.42869923
-0.22914799,0.0288295,-0.3767507,-0.2150527
-0.30980393,-0.58373886,-0.92081875,-0.49934614
0.072127305,-0.16179815,-0.076065525,-0.062423922
-0.21467017,-0.18430363,0.06069784,0.010968741
-0.33724216,0.42335498,-0.055517327,-0.77704644
-1.69897,-0.8140097,-1.09691,-0.9541269
-0.060480747,-0.3206218,-0.20760831,-0.1826903
-0.69897,-0.15132093,0.33445376,-0.13167964
0.1583625,-0.1398411,-0.07417242,-0.058358647
0.6394865,0.16023205,-0.8013429,-0.8060227
-1.0457575,-0.87918884,0.041392684,0.41873083
-0.78515613,-0.36940295,-1.1611509,-0.30170906
-0.48148605,-0.4136287,-0.14874165,-0.4220197
-0.92081875,-0.402416,-0.1611509,-0.5961239
0.075546965,0.109747246,-0.5850267,-0.5152611
-1.838632,-1.0148554,0.5581083,0.17710668
0.44169512,0.19810529,-0.6478175,-0.9165885
-0.41736856,-0.4419219,-0.6478175,-0.6216503
0.04921802,-0.05593431,-0.22914799,-0.32675877
-1.4436975,-0.521424,0.27230585,-0.22610088
-0.4685211,-0.59854674,-0.63827217,-0.52716994
0.350248,-0.123500705,-1.39794,-1.6421888
-2.0,-1.9249449,0.71600336,0.655831
0.7267272,-0.56164676,-0.4202164,0.014756057
-0.026872147,-0.05559078,0.1398791,-0.19393367
-2.0,-0.33353764,0.5276299,0.14035001
0.58939105,0.39528692,-0.73282826,-1.0722116
0.21748394,0.13591309,-0.73048705,-0.6114976
0.39269695,0.48070872,-1.5228788,-0.9937547
-0.3990271,-0.66357344,-0.89279,-0.7058932
-0.88605666,-0.8512185,-0.18045606,-0.05731744
-0.43179828,-0.17982846,-0.9586073,-0.33665392
-0.058488566,-0.65181476,-1.1870867,-0.73860407
-0.20760831,-0.4280038,-0.4424928,-0.5958301
0.33845648,0.33575672,-0.4522253,-0.6337069
0.5378191,0.6168715,-1.09691,-1.1468431
0.004321374,0.06266272,0.026369812,-0.34495476
-0.107905395,-0.27557555,0.025305865,-0.026546175
-0.08092191,-1.1141444,0.23044892,-0.79401904
-0.3675427,-0.18594234,-0.4089354,-0.6607235
