Actual_r1,Predicted_r1,Actual_r2,Predicted_r2
-1.1023729,-0.41102937,-0.6556077,-0.22705597
-0.11918641,-0.43330467,-0.22184876,-0.047142077
-0.26760623,0.5402099,-0.50307035,-0.73048973
-1.0555173,-0.8875757,0.22010809,0.80905575
-0.47366074,-0.70860916,-0.26042765,-0.0034648255
-0.30980393,-0.18729185,-1.69897,-0.7333298
-0.69897,-0.7721269,-0.5850267,-0.62412393
0.1335389,-0.3234113,-0.30103,-0.015948713
-0.014124643,-0.11452428,-0.5940279,-0.97879463
0.09342168,0.18075176,-0.54975086,-0.58837587
-0.79588,0.09547812,0.44870633,-0.863139
0.3673559,0.103290625,-0.54975086,-0.7894835
-0.4034029,-0.031155609,0.12872228,-0.054151703
-0.14874165,-0.20625196,-0.22914799,-0.25599155
0.27184162,0.035378255,-0.59345984,-0.31689864
-1.5228788,-1.5874733,-0.34678748,-0.32312474
-0.23657201,-0.5331451,-0.82390875,-0.63592505
-1.1366771,-0.3638314,0.40993312,-0.7176776
0.40993312,-0.05058711,-1.2218487,-1.4035157
-0.25181198,-0.6562812,0.813581,0.3949121
0.39794,0.2859776,-0.63827217,-1.5382631
-0.4202164,-0.12476348,0.54157925,-0.10214873
-1.4749552,-1.138498,0.90875304,0.20691067
-0.5086383,-0.37521812,-1.39794,-0.7846012
-1.30103,-1.5528532,-0.19382003,-0.8610747
-0.2672043,-0.37395862,0.013047996,-0.09373103
0.54157925,-0.12792097,-0.4202164,-0.106258094
0.44715804,-0.021690838,-1.69897,-1.002868
-0.6556077,-0.14909305,-1.1023729,-0.51526904
-0.4685211,-0.5386143,-0.4202164,-0.60994947
-0.22914799,-0.12693495,-0.3767507,-0.16300368
-0.30980393,-0.6055385,-0.92081875,-0.4781161
0.072127305,-0.1537462,-0.076065525,-0.123116
-0.21467017,-0.28002095,0.06069784,0.050997578
-0.33724216,0.31412816,-0.055517327,-0.7696068
-1.69897,-0.85128325,-1.09691,-0.6314607
-0.060480747,-0.53059953,-0.20760831,-0.22740194
-0.69897,-0.18807799,0.33445376,-0.17941861
0.1583625,-0.2897752,-0.07417242,-0.06830526
0.6394865,0.06778868,-0.8013429,-0.89694846
-1.0457575,-1.0398933,0.041392684,0.36623922
-0.78515613,-0.42255306,-1.1611509,-0.3301894
-0.48148605,-0.3339073,-0.14874165,-0.51098585
-0.92081875,-0.4089221,-0.1611509,-0.6024791
0.075546965,0.0077195624,-0.5850267,-0.56039417
-1.838632,-1.4582137,0.5581083,0.38720107
0.44169512,0.029280193,-0.6478175,-0.919796
-0.41736856,-0.42898998,-0.6478175,-0.6884644
0.04921802,-0.04035633,-0.22914799,-0.31196544
-1.4436975,-0.66782415,0.27230585,-0.023289263
-0.4685211,-0.56966066,-0.63827217,-0.50762105
0.350248,-0.059429012,-1.39794,-1.6504849
-2.0,-2.0606568,0.71600336,0.5836979
0.7267272,-0.39639094,-0.4202164,-0.10644718
-0.026872147,-0.05367463,0.1398791,-0.12806574
-2.0,-0.56342775,0.5276299,0.25709233
0.58939105,0.45170212,-0.73282826,-1.0184127
0.21748394,0.23363626,-0.73048705,-0.70136327
0.39269695,0.5899655,-1.5228788,-0.92270815
-0.3990271,-0.75364476,-0.89279,-0.6912944
-0.88605666,-0.9097118,-0.18045606,0.21872154
-0.43179828,-0.24919938,-0.9586073,-0.46588957
-0.058488566,-0.79611814,-1.1870867,-0.75762296
-0.20760831,-0.513447,-0.4424928,-0.4498585
0.33845648,0.295857,-0.4522253,-0.64372253
0.5378191,0.5342725,-1.09691,-1.2679969
0.004321374,-0.039716005,0.026369812,-0.19899389
-0.107905395,-0.21159174,0.025305865,0.07005025
-0.08092191,-1.252091,0.23044892,-0.812144
-0.3675427,-0.23945896,-0.4089354,-0.66229045
0.5740313,0.06793357,-1.30103,-0.50672793
-0.13076828,-0.27148592,0.037426498,0.07384101
-0.33724216,0.020250611,-0.4436975,-0.6202035
-0.6642079,-0.5811853,-0.16325404,-0.5995115
0.010723866,-0.5449459,-0.04575749,0.22003609
0.15350999,0.45063132,-0.61083394,-1.0267118
0.021189298,-0.017033659,-0.082232,-0.06786817
0.8808136,-0.73806924,-1.69897,-1.7594992
