number,value,datetime_start,datetime_complete,duration,params_Dropout_Rate,params_LSTM_Units,params_Learning_Rate,params_Optimizer_Type,params_Weight_Decay,state,Search_Method,system_attrs_grid_id,system_attrs_search_space,LR,LSTM Units,Dropout,R2 Target,Optim
14,0.6621380746364594,2026-03-20 11:40:27.694035,2026-03-20 11:41:04.441537,0 days 00:00:36.747502,0.10563177925044479,128,0.001,AdamW,5.161623087038426e-06,COMPLETE,Bayesian,,,0.001,128,0.10563177925044479,0.6621380746364594,1
22,0.6491261720657349,2026-03-20 11:45:22.871242,2026-03-20 11:45:59.784897,0 days 00:00:36.913655,0.12982750048098968,128,0.001,AdamW,3.067675699377886e-06,COMPLETE,Bayesian,,,0.001,128,0.12982750048098968,0.6491261720657349,1
26,0.64422208070755,2026-03-20 11:47:45.100942,2026-03-20 11:48:21.343488,0 days 00:00:36.242546,0.09540997804368402,128,0.001,AdamW,9.778943883895247e-06,COMPLETE,Bayesian,,,0.001,128,0.09540997804368402,0.64422208070755,1
27,0.6392883956432343,2026-03-20 11:48:21.346776,2026-03-20 11:48:56.224379,0 days 00:00:34.877603,0.1616312777745578,32,0.001,AdamW,1.130108173984576e-05,COMPLETE,Bayesian,,,0.001,32,0.1616312777745578,0.6392883956432343,1
8,0.6360665857791901,2026-03-20 11:36:46.758635,2026-03-20 11:37:23.554941,0 days 00:00:36.796306,0.07831331318749414,128,0.0005,AdamW,3.7982145084532588e-06,COMPLETE,Bayesian,,,0.0005,128,0.07831331318749414,0.6360665857791901,1
21,0.6302089393138885,2026-03-20 11:44:46.049182,2026-03-20 11:45:22.866787,0 days 00:00:36.817605,0.13540240133404985,128,0.001,AdamW,2.7993102385139035e-06,COMPLETE,Bayesian,,,0.001,128,0.13540240133404985,0.6302089393138885,1
12,0.6299731135368347,2026-03-20 12:15:43.391827,2026-03-20 12:16:20.596139,0 days 00:00:37.204312,0.1,32,0.001,Adam,,COMPLETE,Grid,12.0,"{'Dropout_Rate': [0.1, 0.3, 0.5], 'LSTM_Units': [32, 64, 128, 256], 'Learning_Rate': [1e-05, 5e-05, 0.0001, 0.0005, 0.001, 0.0025, 0.005, 0.01], 'Optimizer_Type': ['Adam', 'AdamW', 'RMSprop']}",0.001,32,0.1,0.6299731135368347,0
13,0.6274036765098572,2026-03-20 11:39:50.885749,2026-03-20 11:40:27.689426,0 days 00:00:36.803677,0.13586005527907227,128,0.001,AdamW,1.03584919457874e-06,COMPLETE,Bayesian,,,0.001,128,0.13586005527907227,0.6274036765098572,1
8,0.6272669732570648,2026-03-20 11:54:53.508923,2026-03-20 11:55:30.674419,0 days 00:00:37.165496,0.07831331318749414,128,0.0005,AdamW,3.7982145084532588e-06,COMPLETE,Random,,,0.0005,128,0.07831331318749414,0.6272669732570648,1
12,0.6183894872665405,2026-03-20 11:39:14.067075,2026-03-20 11:39:50.881273,0 days 00:00:36.814198,0.15483193328734896,128,0.0005,AdamW,1.3434047315879807e-06,COMPLETE,Bayesian,,,0.0005,128,0.15483193328734896,0.6183894872665405,1
