Actual_r1,Predicted_r1,Actual_r2,Predicted_r2
-1.1023729,-0.5726135,-0.6556077,0.3161549
-0.11918641,-0.19021949,-0.22184876,-0.40340942
-0.26760623,-0.0554917,-0.50307035,-0.33581612
-1.0555173,-0.9642792,0.22010809,0.61015165
-0.47366074,-0.39495882,-0.26042765,-0.10398092
-0.30980393,-0.30726606,-1.69897,-1.415568
-0.69897,-0.72115326,-0.5850267,-0.63725543
0.1335389,0.08464915,-0.30103,-0.47949016
-0.014124643,-0.009948544,-0.5940279,-0.7301341
0.09342168,0.3130392,-0.54975086,-0.6550014
-0.79588,-0.32374343,0.44870633,0.31264386
0.3673559,-0.0664446,-0.54975086,-0.38812715
-0.4034029,-0.15881589,0.12872228,0.0698007
-0.14874165,-0.23462102,-0.22914799,-0.12364115
0.27184162,0.29812846,-0.59345984,-0.5700556
-1.5228788,-1.2780998,-0.34678748,-0.41457754
-0.23657201,-0.5715147,-0.82390875,-0.52272123
-1.1366771,-0.15779105,0.40993312,-0.7674829
0.40993312,0.43883687,-1.2218487,-1.0590268
-0.25181198,-0.6175552,0.813581,0.6710335
0.39794,0.28673202,-0.63827217,-1.1136346
-0.4202164,-0.25452858,0.54157925,0.32847175
-1.4749552,-1.3596107,0.90875304,0.62698686
-0.5086383,-0.4934549,-1.39794,-1.3414166
-1.30103,-1.029496,-0.19382003,-0.56214815
-0.2672043,-0.3954165,0.013047996,0.096205555
0.54157925,0.33560118,-0.4202164,-0.26973984
0.44715804,0.378525,-1.69897,-1.6838044
-0.6556077,0.32836506,-1.1023729,-0.52244043
-0.4685211,-0.52903676,-0.4202164,-0.61652184
-0.22914799,-0.14088768,-0.3767507,-0.06899332
-0.30980393,-0.5550318,-0.92081875,-0.513453
0.072127305,0.071251065,-0.076065525,-0.124905296
-0.21467017,-0.22054055,0.06069784,0.042856492
-0.33724216,-0.27497852,-0.055517327,-0.103981465
-1.69897,-1.5565023,-1.09691,-0.8966332
-0.060480747,-0.27748862,-0.20760831,-0.14427942
-0.69897,-0.3568842,0.33445376,0.0812962
0.1583625,-0.027642988,-0.07417242,-0.10414218
0.6394865,0.45049724,-0.8013429,-1.1203768
-1.0457575,-1.1151127,0.041392684,0.0037105083
-0.78515613,-0.80961037,-1.1611509,-1.0512111
